"NOME_MUNICIPIO";"RENDA";"EDUCACAO";"SOBREVIVENCIA";"INFRAESTRUTURA";"Acesso a informação";"HABITACAO";"MOBILIDADE";"MIQL-M";"MIQL-T"
"Buritizal";0.5396771956;0.6895328226;0.9413647965;0.7628613343;0.673787169;0.9528358838;0.919233;0.7454277703;0.7680834912
"Cabrália Paulista";0.5185818259;0.684830947;0.9168744614;0.7953460907;0.6554687997;0.9349798032;0.816078;0.7358175779;0.7467809513
"Cabreúva";0.5371176395;0.7022725935;0.9369050228;0.7560471368;0.643309009;0.9143966361;0.815536;0.7346192506;0.7456676134
"Caçapava";0.5446489913;0.7487526057;0.9408495788;0.8543988729;0.7427986641;0.9286657921;0.850113;0.780538649;0.7901178549
"Cachoeira Paulista";0.5355867302;0.7537273582;0.9258841053;0.8579198404;0.699498583;0.9079554908;0.873817;0.7670372777;0.781452814
"Caconde";0.5252414256;0.6866671856;0.9122081317;0.6594582769;0.6723586404;0.9199551278;0.882632;0.7155264523;0.7373058679
"Cafelândia";0.5320158366;0.7048461852;0.9401009405;0.807867996;0.662846926;0.925702568;0.877416;0.7477155626;0.764998496
"Caiabu";0.524428353;0.7361401123;0.9397471658;0.7179348823;0.6295751549;0.9663015756;0.77865;0.7356148692;0.7416139622
"Caieiras";0.530146004;0.743974371;0.93946079;0.89315164;0.724638309;0.897876563;0.71339;0.7741929435;0.7651993806
"Caiuá";0.5123247373;0.6796969171;0.9276621683;0.5712341962;0.6374492565;0.8309731992;0.821609;0.6787078687;0.6974892189
"Cajamar";0.520390668;0.726998996;0.936837828;0.803415507;0.677508796;0.895090673;0.78003;0.7462339181;0.7509707656
"Cajati";0.5080815478;0.6956226714;0.9142301348;0.7225880924;0.588758953;0.8965579444;0.872825;0.7054424046;0.7272285753
"Cajobi";0.5359780477;0.7004416315;0.9429338716;0.8330358518;0.6772628558;0.9594529034;0.820399;0.7592896272;0.7677326121
"Cajuru";0.5298906019;0.6941487127;0.9320103436;0.7993221495;0.6546811277;0.9247400148;0.833756;0.7412621051;0.7538190512
"Campina do Monte Alegre";0.516205816;0.7006843468;0.9393295693;0.7625400045;0.6148620571;0.9136418225;0.835642;0.7252648003;0.7400919737
"Campinas";0.5682935061;0.7664261527;0.9472352346;0.9101212758;0.7685279007;0.9274345504;0.769043;0.8027688368;0.7978617859
"Campo Limpo Paulista";0.5420772992;0.7396407523;0.93417711;0.8455577585;0.7086650676;0.9048934973;0.726567;0.7666824245;0.7608188163
"Campos do Jordão";0.5351670431;0.6996229483;0.9423116189;0.8178001288;0.6867740806;0.8620082355;0.821307;0.744880731;0.7553471
"Campos Novos Paulista";0.5184745889;0.6796779529;0.9375045968;0.7077728938;0.6026012441;0.9258365106;0.850206;0.7121591408;0.7304146875
