BA;Ibitiara;15669;16647;16614
BA;Ibititá;17763;18752;18740
BA;Ibotirama;25617;27285;27405
BA;Ichu;5908;6265;6288
BA;Igaporã;15238;16159;16193
BA;Igrapiúna;13028;13636;14509
BA;Iguaí;26053;27615;27704
BA;Ilhéus;187315;184616;182350
BA;Inhambupe;37321;39938;40441
BA;Ipecaetá;15025;15753;15634
BA;Ipiaú;44538;47178;47388
BA;Ipirá;59001;62253;62172
BA;Ipupiara;9398;9992;10054
BA;Irajuba;7046;7471;7443
BA;Iramaia;11150;11412;10809
BA;Iraquara;23246;24882;24712
BA;Irará;27814;29579;29770
BA;Irecê;67527;72041;72730
BA;Itabela;28790;30636;30852
BA;Itaberaba;62037;65806;66065
BA;Itabuna;205885;218124;218925
BA;Itacaré;25254;26753;27198
BA;Itaeté;15063;15996;16370
BA;Itagi;12805;13433;13448
BA;Itagibá;15088;15829;15871
BA;Itagimirim;7013;7420;7384
BA;Itaguaçu da Bahia;13487;14392;14533
BA;Itaju do Colônia;7118;7507;7428
BA;Itajuípe;20878;21884;21817
BA;Itamaraju;63037;67128;67191
BA;Itamari;7836;8259;8534
BA;Itambé;22650;23723;23520
BA;Itanagra;7590;8023;8029
BA;Itanhém;20015;20735;20671
BA;Itaparica;20994;22329;22476
BA;Itapé;10436;10682;10448
BA;Itapebi;10398;10942;10910
BA;Itapetinga;69903;74652;75440
BA;Itapicuru;33008;35255;35632
BA;Itapitanga;10181;10799;10799
BA;Itaquara;7751;8231;8480
BA;Itarantim;18651;19837;19968
BA;Itatim;13841;14700;14691
BA;Itiruçu;12589;13267;13336
BA;Itiúba;36200;38330;38413
BA;Itororó;19942;21106;21143
BA;Ituaçu;18302;19211;19311
BA;Ituberá;26930;28639;28934
BA;Iuiú;10963;11253;11294
BA;Jaborandi;8728;9417;9318
BA;Jacaraci;14500;15350;15380
BA;Jacobina;79580;84328;84577
BA;Jaguaquara;51635;54902;55127
BA;Jaguarari;30769;32740;32969
BA;Jaguaripe;16927;18114;18432
BA;Jandaíra;10377;10997;11031
BA;Jequié;152372;161391;161150
BA;Jeremoabo;38163;40587;40851
BA;Jiquiriçá;14096;14936;14993
BA;Jitaúna;13280;13667;13636
BA;João Dourado;23066;24633;24894
BA;Juazeiro;201499;214748;216588
BA;Jucuruçu;9972;10403;10272
BA;Jussara;15004;15848;15844
BA;Jussari;6322;6493;6434
BA;Jussiape;7533;7741;7429
BA;Lafaiete Coutinho;3830;4017;4046
BA;Lagoa Real;14187;15542;15676
BA;Laje;22679;24207;23682
BA;Lajedão;3782;3971;3997
BA;Lajedinho;3881;4079;3993
BA;Lajedo do Tabocal;8346;8847;8810
BA;Lamarão;9271;9673;9554
BA;Lapão;25785;27338;27432
BA;Lauro de Freitas;171042;184383;188013
BA;Lençóis;10589;11300;11340
BA;Licínio de Almeida;12268;12962;12965
BA;Livramento de Nossa Senhora;43514;45236;45647
BA;Luís Eduardo Magalhães;66371;73061;76420
BA;Macajuba;11201;11835;11836
BA;Macarani;17253;18419;18608
BA;Macaúbas;47915;49436;49861
BA;Macururé;7992;8417;8390
BA;Madre de Deus;18183;19600;19985
BA;Maetinga;6048;5972;5561
BA;Maiquinique;9229;9864;9976
BA;Mairi;19163;20194;20144
BA;Malhada;16058;17375;17416
